,POI Total,POI Lifestyle,POI Business/Residential,POI Food/Beverage,Charge Count,zone_mean_pred,zone_mean_actual
102,-0.013336073,0.008604343,-0.0055580414,-0.022092497,0.007854846,0.30418533,0.31734365
104,-0.028131006,0.024716765,-0.02875957,-0.013338542,-0.041636117,0.25437093,0.23917158
105,0.0012019693,0.06310704,-0.0015731421,-0.010530711,0.006977883,0.432079,0.5820355
106,-0.024576874,0.010914359,-0.007214362,-0.003844363,-0.00054614875,0.3070247,0.1821154
107,0.03896957,0.062506795,0.014711804,0.0059222486,0.02027707,0.49109927,0.5049153
108,-0.012295155,0.016064094,-0.0006002623,0.0057863262,0.008633113,0.37365544,0.29709417
109,-0.011023029,-0.0007939953,0.01749703,0.0061100735,-0.0049821637,0.37041086,0.519389
110,-0.013645698,-0.048458427,0.030878471,0.013513531,0.00928093,0.35018763,0.32308915
111,0.003174707,0.03065598,-0.014363579,-0.010706234,0.013349243,0.39547023,0.37517363
115,-0.0041023875,0.015575977,-0.0012723142,0.007921297,-0.033126574,0.3241065,0.13346855
123,-0.0058105253,-0.035662483,0.014313443,0.009940902,0.014032486,0.34487417,0.22461599
124,0.0068591638,-0.03240407,-0.003843707,-0.012301439,-0.002586261,0.29015908,0.32980192
202,-0.0007175961,0.01296009,0.0039527393,0.020246958,0.007803933,0.37174538,0.3271039
204,0.021102061,-0.022374252,0.012769691,0.0194135,0.020048736,0.44922078,0.6049357
205,0.009677712,0.06318906,-0.016725527,-0.009033079,0.0028001654,0.38090536,0.43326554
206,0.00858424,0.06561075,-0.023274446,-0.00546443,-0.0023927572,0.40352178,0.2996411
208,-0.010886385,-0.00391922,-0.004772801,-0.0029689749,-0.035256453,0.291283,0.3231258
212,-0.0040723956,0.054541793,-0.0146653,-0.009550392,0.026993895,0.39320847,0.23602365
213,-0.00510661,0.026100287,0.026239647,0.00020016597,0.009796599,0.42207527,0.59654707
214,-0.02917644,0.0037269257,-0.02567034,-2.9193614E-05,0.015021632,0.3164773,0.19586034
215,-2.7023627E-05,-0.030463014,0.0020095194,0.0074506137,0.0008111172,0.32188442,0.23303793
216,0.005155747,0.05799847,-0.02209283,-0.0045834007,0.0062755225,0.3874256,0.38662463
217,-0.02787131,-0.02990556,-0.025107516,-0.0049279267,-0.020054871,0.20824705,0.28447273
223,0.024264775,-0.010364188,0.037815724,0.014946677,0.04756562,0.50553185,0.48341778
224,0.012726336,0.012188208,0.03342083,0.020832945,0.02981545,0.5178093,0.6169821
225,-0.009547608,-0.03661877,0.003115463,0.020316431,-0.015101344,0.32787466,0.15851143
226,-0.018036963,-0.021222863,-0.0063488176,-0.036708146,-0.001974775,0.25791332,0.2662571
227,-0.008955221,-0.014523302,-0.024124151,-0.030911842,-0.002960516,0.23227364,0.26189408
235,-0.004236117,-0.05310514,0.017734047,0.016160073,-0.009243251,0.3244382,0.35562629
307,0.0118547585,-0.0066859294,0.037781194,-0.006259064,0.030629732,0.4168573,0.3891465
309,-0.004879671,-0.04140114,0.015891127,-0.0049711736,2.9460243E-05,0.31678185,0.38446155
310,-0.0060412665,0.0087942025,-0.06169669,-0.008122017,-0.010553799,0.25127327,0.17515902
311,-0.009056022,-0.017366083,-0.05005385,-0.024073454,0.007372476,0.23982061,0.27637342
316,0.0002434061,-0.0071329363,0.008504166,0.00064462726,0.048868645,0.40491125,0.5079618
320,0.01260044,-0.00070041924,0.017455125,-0.016599653,0.030202832,0.4097663,0.30719265
321,-0.027507627,-0.049253672,-0.01810465,-0.051720772,-0.015507871,0.17184393,0.21041355
322,-0.025881536,-0.049150288,-0.01266339,-0.05629394,-0.012178147,0.16023424,0.09156009
323,-0.027773086,-0.027127044,-0.008777523,-0.040226456,-0.020714667,0.19938175,0.16110127
324,-0.016798535,-0.02226069,-0.05644212,-0.002737352,-0.0014124997,0.21765815,0.29082832
325,-0.01386424,-0.018196601,-0.002382318,-0.034077704,-0.0054305284,0.26386896,0.24601899
326,-0.0034159354,0.012110376,-0.039890468,-0.013504229,0.009050004,0.30239078,0.2767519
328,0.0044410815,-0.017765833,0.0025650836,0.015329027,0.010680247,0.37167776,0.30952597
329,0.024726111,-0.009249895,0.03801001,0.026382226,0.053361047,0.51379865,0.64556026
330,-0.004351481,-0.0059594256,0.035693813,0.01203767,0.008671403,0.4100912,0.34426764
331,-0.0066104503,-0.0054158913,0.036392797,0.015953084,0.012613542,0.3961065,0.4915071
332,-0.0043154703,-0.011351725,-0.0019565765,-0.025410587,0.021758556,0.33928397,0.39785513
333,0.0085610505,-0.028596686,-0.010994623,0.0031926252,-0.054982755,0.22693466,0.2372611
335,-0.015572578,-0.07034211,0.008992607,0.004504445,0.008263689,0.28284842,0.26483932
340,-0.015657837,-0.0068234755,0.012294958,-0.011808038,-0.037199892,0.28087234,0.24652627
343,-0.009066473,-0.00024707982,-0.065126725,0.0063893027,0.0019468284,0.28463235,0.24929948
346,-0.0025922721,0.0013983687,0.031420395,0.015281481,0.0046727634,0.39989096,0.49762416
347,0.0076914434,0.014033011,0.01970142,0.01317059,0.011522897,0.4380743,0.37778673
348,0.017683266,-0.020068811,0.0074540917,0.004539769,0.0003910772,0.34929013,0.40013695
406,0.049017265,0.011034056,0.014005769,-0.0061927764,0.020886533,0.48106652,0.47750795
408,0.010819384,0.0023323807,0.02345669,0.007589596,0.017529966,0.41784176,0.41517654
501,0.039752245,0.046887577,0.0061392854,0.019806871,0.009893278,0.48860586,0.5064711
502,-0.0044002347,-0.012010466,0.004706673,0.005227635,-0.0012594004,0.3339027,0.25226796
506,-0.013873157,0.02407157,0.022807332,0.002121258,0.026115878,0.41873407,0.45481285
508,-0.009071736,0.05317026,-0.037973445,-0.015602062,0.003305112,0.31625557,0.3128709
511,-0.015094434,-0.035511997,-0.0050062705,-0.038563244,-0.02153087,0.2092358,0.19697449
512,-0.0030618005,0.017543009,0.0051956624,-0.013759419,0.013392067,0.367478,0.418229
513,0.027285386,-0.02375943,-0.014637525,0.018679691,0.012733676,0.37491775,0.30696794
516,-0.011139895,-0.009670016,-0.0069669336,0.0028181993,-0.005296376,0.30277628,0.2878545
519,-0.019894542,-0.010533042,-0.04343362,-0.019448105,0.0045359335,0.25934875,0.4019855
520,-0.01424268,-0.024284111,-0.008702876,-0.015336539,-0.019405313,0.2539451,0.17871158
522,0.008896463,-0.0026274745,0.035311118,-0.002681154,0.009580777,0.42473623,0.43697912
525,-0.0014163575,0.061650038,0.0023714085,-0.014812619,0.0047411034,0.39391577,0.499581
526,-0.023860198,0.01275872,-0.020249754,-0.026605887,-0.0026841874,0.2632807,0.152226
527,-0.0033029718,-0.021262541,0.00039055277,-0.022903768,0.008204926,0.305957,0.31359115
528,-0.008151324,0.03735044,-0.029203452,-0.026709463,0.005383257,0.31052306,0.32551327
529,0.021761624,-0.0118673695,0.015330862,0.026433872,-0.0049754917,0.4242632,0.487646
552,-0.0068747182,-0.017983992,0.0072099557,-0.025391458,-0.0033995176,0.30542278,0.31623545
553,0.010113974,-0.014503629,0.018562416,0.007709302,-0.02540024,0.3414606,0.29789212
558,-0.0015689847,-0.020821447,0.01427195,0.012577696,0.015843883,0.38794044,0.42808864
559,0.015614359,-0.013653073,0.030371996,0.028061487,-0.015163211,0.40332207,0.38675222
568,0.012494184,0.05626767,0.015580884,0.025479423,-0.005993259,0.49030814,0.49330887
570,-0.0028138766,-0.015851451,0.01644591,0.025339682,-0.022412062,0.36506474,0.4532157
575,0.022643223,0.012021735,0.019734684,0.013655245,-0.0169922,0.41841957,0.51058465
576,-0.007280925,-0.012857285,-0.0035925957,-0.00015096809,-0.002299145,0.3079444,0.2861169
577,-0.006488548,-0.031133024,0.0052408664,0.011964635,-0.008305947,0.3231296,0.21484526
578,0.011466766,-0.007377243,0.02377144,0.017751364,0.008654466,0.4484134,0.46629512
580,0.0043111076,-0.022977665,0.010201953,0.00048017953,-0.02144566,0.3091007,0.24363045
582,0.01605146,-0.0015521282,0.014342932,0.022239117,0.026545722,0.4600692,0.54898953
