zone_id,mean_pred,mean_actual,zone_rmse
102,0.30932924,0.31734365,0.08285567
104,0.24254231,0.23917158,0.13420147
105,0.42208716,0.5820355,0.1763627
106,0.306985,0.1821154,0.14630878
107,0.50694704,0.5049153,0.06070603
108,0.36396322,0.29709417,0.09243339
109,0.366143,0.519389,0.17404611
110,0.37612346,0.32308915,0.079804495
111,0.3944828,0.37517363,0.09774382
115,0.32257175,0.13346855,0.21492079
123,0.35816154,0.22461599,0.15118735
124,0.2947453,0.32980192,0.07555192
202,0.36963964,0.3271039,0.107262425
204,0.44341755,0.6049357,0.192643
205,0.39070746,0.43326554,0.09316171
206,0.40104714,0.2996411,0.16581425
208,0.28107208,0.3231258,0.09095059
212,0.3808974,0.23602365,0.17819415
213,0.42121804,0.59654707,0.1910647
214,0.31808767,0.19586034,0.135119
215,0.31902847,0.23303793,0.13758883
216,0.39277127,0.38662463,0.12094209
217,0.2057906,0.28447273,0.09626549
223,0.51176333,0.48341778,0.06755595
224,0.5015954,0.6169821,0.1371577
225,0.3214857,0.15851143,0.18280199
226,0.26070097,0.2662571,0.07876395
227,0.23330963,0.26189408,0.08838579
235,0.31454134,0.35562629,0.07333298
307,0.41217217,0.3891465,0.07742559
309,0.3022238,0.38446155,0.1503608
310,0.24600822,0.17515902,0.10422018
311,0.24532163,0.27637342,0.061036482
316,0.3819405,0.5079618,0.24720253
320,0.4318525,0.30719265,0.16490024
321,0.1809931,0.21041355,0.098400846
322,0.16764541,0.09156009,0.11285382
323,0.20409328,0.16110127,0.13836788
324,0.23247775,0.29082832,0.097740024
325,0.26836354,0.24601899,0.090633124
326,0.29956394,0.2767519,0.07942789
328,0.37815523,0.30952597,0.09566408
329,0.52682793,0.64556026,0.1407234
330,0.4029725,0.34426764,0.10784594
331,0.41537154,0.4915071,0.10330116
332,0.3431188,0.39785513,0.112731494
333,0.22994314,0.2372611,0.066259764
335,0.2755348,0.26483932,0.11496676
340,0.28603402,0.24652627,0.2182738
343,0.2806662,0.24929948,0.1206741
346,0.38463607,0.49762416,0.18358305
347,0.4377092,0.37778673,0.13962054
348,0.36276537,0.40013695,0.17773975
406,0.51756096,0.47750795,0.16353172
408,0.4072042,0.41517654,0.07626019
501,0.4936781,0.5064711,0.084153935
502,0.32925528,0.25226796,0.0933588
506,0.42809504,0.45481285,0.11832815
508,0.3204041,0.3128709,0.062720686
511,0.20482244,0.19697449,0.08634698
512,0.3598958,0.418229,0.103552245
513,0.3833368,0.30696794,0.0942128
516,0.30559957,0.2878545,0.080383115
519,0.27311823,0.4019855,0.17086619
520,0.23497626,0.17871158,0.10741232
522,0.43702993,0.43697912,0.14529118
525,0.39220905,0.499581,0.14468472
526,0.25405073,0.152226,0.11893037
527,0.30138135,0.31359115,0.06453127
528,0.30461654,0.32551327,0.09060489
529,0.4314152,0.487646,0.114409715
552,0.3090054,0.31623545,0.081897415
553,0.33492866,0.29789212,0.10039944
558,0.38994816,0.42808864,0.10035098
559,0.40815973,0.38675222,0.12468542
568,0.4816477,0.49330887,0.06566141
570,0.38025633,0.4532157,0.13754278
575,0.42411867,0.51058465,0.21974477
576,0.3130886,0.2861169,0.10291954
577,0.31804785,0.21484526,0.12952833
578,0.4546228,0.46629512,0.09089394
580,0.3199328,0.24363045,0.15567268
582,0.47576797,0.54898953,0.14692906
584,0.36025664,0.34223428,0.10436354
585,0.26084483,0.30175152,0.13934954
587,0.2825785,0.30230966,0.11408169
588,0.3416785,0.3934282,0.11058606
589,0.35447994,0.27423564,0.12000111
592,0.34815577,0.3357443,0.17254676
594,0.3634315,0.32024983,0.1378545
595,0.405699,0.37803948,0.11976436
596,0.43647704,0.47423384,0.11934682
598,0.31650618,0.3046709,0.11129666
601,0.53021723,0.5014595,0.101152286
628,0.55515563,0.6175684,0.17817375
631,0.36719984,0.21945618,0.17597689
632,0.4979046,0.54624754,0.08123219
633,0.27111614,0.3607167,0.13222873
637,0.25798059,0.21072207,0.08621407
638,0.2114572,0.23757966,0.09548359
643,0.38306084,0.39343545,0.053631943
644,0.3621137,0.21915355,0.17730117
647,0.4226642,0.3126349,0.12544458
651,0.76819456,0.9338035,0.176614
655,0.1553154,0.110886216,0.08347777
656,0.16458987,0.16626742,0.09182206
659,0.21488039,0.15959054,0.093373016
681,0.3383152,0.2465495,0.12670372
682,0.2735703,0.3160497,0.14443657
686,0.3404431,0.27261013,0.106755264
687,0.19808485,0.16056207,0.08329543
690,0.43381903,0.3691274,0.15208402
691,0.4462574,0.514923,0.12515622
693,0.46541116,0.54561996,0.1044945
698,0.42289826,0.45240653,0.101283096
699,0.3828252,0.467707,0.113715984
700,0.3750524,0.49203777,0.13389648
701,0.36049086,0.2929938,0.09889911
703,0.3788778,0.34617883,0.07513619
704,0.32092988,0.35067877,0.07924335
705,0.40996197,0.41915777,0.07424334
706,0.39226225,0.4469619,0.09487335
708,0.30935588,0.30480748,0.16520214
709,0.41119248,0.36643404,0.097022995
710,0.44865242,0.42760476,0.10637286
711,0.39464274,0.53677166,0.18289392
712,0.36429033,0.32834393,0.08422338
715,0.60069716,0.52568936,0.13263337
716,0.2832732,0.2996747,0.055348366
718,0.23127946,0.094267756,0.16181181
719,0.31429303,0.36146644,0.0963706
724,0.41830397,0.4479908,0.06619308
728,0.2175271,0.16473716,0.10830233
729,0.38777795,0.40984812,0.12731685
731,0.22622637,0.1923459,0.08488247
732,0.28667828,0.2598196,0.13567932
733,0.3671874,0.39030156,0.13039954
737,0.5145611,0.4915075,0.16718535
741,0.31907687,0.32936564,0.08933326
744,0.32184422,0.32400498,0.061509397
745,0.39590302,0.34534237,0.083829924
746,0.4230266,0.40329525,0.0679068
751,0.28606555,0.20703387,0.108567856
771,0.47019333,0.4496416,0.16271566
773,0.2500052,0.27456054,0.079654604
775,0.46633944,0.5429935,0.23167753
777,0.3273932,0.32539874,0.06956243
781,0.44260314,0.32054862,0.15665741
783,0.47594646,0.5270752,0.16909935
790,0.4978249,0.64048934,0.16647619
792,0.45574582,0.42940584,0.15298392
795,0.36399254,0.41737613,0.0917682
799,0.3030191,0.29629755,0.07268153
802,0.2801906,0.29063186,0.090629265
804,0.4221162,0.40070564,0.13539499
805,0.33677313,0.35575923,0.17721829
809,0.44095844,0.48997715,0.09321323
832,0.36070177,0.48305905,0.1300745
842,0.33945486,0.32939035,0.07356612
844,0.26656297,0.3137671,0.18288177
848,0.30497992,0.37911245,0.11702576
849,0.32426685,0.22027612,0.12148752
851,0.39943093,0.4431792,0.07433069
852,0.40145332,0.28730807,0.14106289
